_start,_end,_type
2485,1,belongTo
2486,9,belongTo
2487,29,belongTo
2488,389,belongTo
2489,410,belongTo
2490,4,belongTo
2491,4,belongTo
2492,17,belongTo
2493,20,belongTo
2494,1,belongTo
2495,413,belongTo
2496,414,belongTo
2497,410,belongTo
2498,415,belongTo
2499,9,belongTo
2500,17,belongTo
2501,27,belongTo
2502,27,belongTo
2503,15,belongTo
2504,9,belongTo
2505,1,belongTo
2506,409,belongTo
2507,27,belongTo
2508,10,belongTo
2509,29,belongTo
2510,27,belongTo
2511,15,belongTo
2512,413,belongTo
2513,3,belongTo
2514,20,belongTo
2515,9,belongTo
2516,410,belongTo
2517,389,belongTo
2518,1,belongTo
2519,10,belongTo
2520,389,belongTo
2521,416,belongTo
2522,409,belongTo
2523,411,belongTo
2524,417,belongTo
2525,413,belongTo
2526,3,belongTo
2527,29,belongTo
2528,1,belongTo
2529,3,belongTo
2530,410,belongTo
2531,389,belongTo
2532,9,belongTo
2533,418,belongTo
2534,416,belongTo
2535,27,belongTo
2536,20,belongTo
2537,419,belongTo
2538,9,belongTo
2539,29,belongTo
2540,417,belongTo
2541,27,belongTo
2492,412,belongTo
2542,27,belongTo
2543,9,belongTo
2544,4,belongTo
2545,413,belongTo
2546,1,belongTo
2547,3,belongTo
2548,4,belongTo
2549,418,belongTo
2550,4,belongTo
2551,389,belongTo
2552,3,belongTo
2553,4,belongTo
2554,409,belongTo
2555,419,belongTo
2556,15,belongTo
2557,9,belongTo
2558,1,belongTo
2559,410,belongTo
2560,29,belongTo
2561,9,belongTo
2562,29,belongTo
2563,27,belongTo
2564,4,belongTo
2565,389,belongTo
2566,389,belongTo
2567,9,belongTo
2568,413,belongTo
2569,9,belongTo
2570,389,belongTo
2571,389,belongTo
2572,10,belongTo
2573,4,belongTo
2574,4,belongTo
2575,4,belongTo
2576,27,belongTo
2577,419,belongTo
2578,20,belongTo
2579,414,belongTo
2580,389,belongTo
2581,9,belongTo
2582,389,belongTo
2583,3,belongTo
2584,27,belongTo
2585,389,belongTo
2586,1,belongTo
2587,10,belongTo
2588,1,belongTo
2589,3,belongTo
2590,419,belongTo
2591,29,belongTo
2592,389,belongTo
2410,420,belongTo
2593,1,belongTo
2594,409,belongTo
2595,413,belongTo
2596,413,belongTo
2597,3,belongTo
2598,419,belongTo
2599,410,belongTo
2600,410,belongTo
2601,1,belongTo
2602,2594,oneOf
2603,2594,oneOf
2604,2594,oneOf
2605,2594,oneOf
2606,2594,oneOf
2607,2594,oneOf
2608,2594,oneOf
2609,2594,oneOf
2610,2594,oneOf
2984,20,belongTo
2985,413,belongTo
2613,389,belongTo
2614,410,belongTo
2615,3,belongTo
2616,15,belongTo
2617,15,belongTo
2618,20,belongTo
2619,410,belongTo
2620,20,belongTo
2621,29,belongTo
2622,410,belongTo
2623,2407,oneOf
2624,2408,oneOf
2625,2409,oneOf
2626,2410,oneOf
2627,2410,oneOf
2628,2411,oneOf
2629,2412,oneOf
2630,2411,oneOf
2631,2413,oneOf
2632,2414,oneOf
2633,2415,oneOf
2634,2416,oneOf
2635,2409,oneOf
2636,2414,oneOf
2637,2417,oneOf
2638,2411,oneOf
2639,2418,oneOf
2640,2419,oneOf
2641,2411,oneOf
2642,2414,oneOf
2643,2415,oneOf
2644,2412,oneOf
2645,2409,oneOf
2646,2420,oneOf
2647,2411,oneOf
2648,2421,oneOf
2649,2408,oneOf
2650,2419,oneOf
2651,2422,oneOf
2652,2419,oneOf
2653,2423,oneOf
2654,2414,oneOf
2655,2409,oneOf
2656,2424,oneOf
2657,2422,oneOf
2658,2412,oneOf
2659,2410,oneOf
2660,2408,oneOf
2661,2425,oneOf
2662,2411,oneOf
2663,2473,oneOf
2664,2474,oneOf
2665,2408,oneOf
2666,2475,oneOf
2667,2415,oneOf
2668,2476,oneOf
2669,2414,oneOf
2670,2412,oneOf
2671,2477,oneOf
2672,2416,oneOf
2673,2478,oneOf
2674,2419,oneOf
2675,2411,oneOf
2676,2479,oneOf
2677,2480,oneOf
2678,2419,oneOf
2679,2415,oneOf
2680,2417,oneOf
2681,2419,oneOf
2682,2474,oneOf
2683,2409,oneOf
2684,2477,oneOf
2685,2415,oneOf
2686,2478,oneOf
2687,2416,oneOf
2688,2481,oneOf
2689,2482,oneOf
2690,2416,oneOf
2691,2483,oneOf
2692,2484,oneOf
2693,2414,oneOf
2694,2408,oneOf
2695,2485,oneOf
2696,2486,oneOf
2697,2414,oneOf
2698,2411,oneOf
2699,2409,oneOf
2700,2414,oneOf
2701,2478,oneOf
2702,2487,oneOf
2703,2422,oneOf
2704,2422,oneOf
2705,2486,oneOf
2706,2411,oneOf
2707,2419,oneOf
2708,2411,oneOf
2709,2480,oneOf
2710,2413,oneOf
2711,2424,oneOf
2712,2423,oneOf
2713,2415,oneOf
2714,2487,oneOf
2715,2408,oneOf
2716,2484,oneOf
2717,2488,oneOf
2718,2411,oneOf
2719,2418,oneOf
2720,2489,oneOf
2721,2478,oneOf
2722,2490,oneOf
2723,2479,oneOf
2724,2491,oneOf
2725,2419,oneOf
2726,2473,oneOf
2727,2492,oneOf
2728,2420,oneOf
2729,2493,oneOf
2730,2417,oneOf
2731,2417,oneOf
2732,2494,oneOf
2733,2413,oneOf
2734,2414,oneOf
2735,2494,oneOf
2736,2495,oneOf
2737,2414,oneOf
2738,2486,oneOf
2739,2407,oneOf
2740,2414,oneOf
2741,2419,oneOf
2742,2495,oneOf
2743,2496,oneOf
2744,2409,oneOf
2745,2497,oneOf
2746,2498,oneOf
2747,2487,oneOf
2748,2410,oneOf
2749,2408,oneOf
2750,2408,oneOf
2751,2499,oneOf
2752,2500,oneOf
2753,2487,oneOf
2754,2501,oneOf
2755,2502,oneOf
2756,2503,oneOf
2757,2489,oneOf
2758,2422,oneOf
2759,2504,oneOf
2760,2425,oneOf
2761,2505,oneOf
2762,2492,oneOf
2763,2408,oneOf
2764,2409,oneOf
2765,2489,oneOf
2766,2506,oneOf
2767,2507,oneOf
2768,2412,oneOf
2769,2407,oneOf
2770,2409,oneOf
2771,2407,oneOf
2772,2507,oneOf
2773,2479,oneOf
2774,2476,oneOf
2775,2508,oneOf
2776,2473,oneOf
2777,2417,oneOf
2778,2473,oneOf
2779,2505,oneOf
2780,2504,oneOf
2781,2420,oneOf
2782,2421,oneOf
2783,2414,oneOf
2784,2420,oneOf
2785,2504,oneOf
2786,2410,oneOf
2787,2419,oneOf
2788,2421,oneOf
2789,2416,oneOf
2790,2418,oneOf
2791,2424,oneOf
2792,2423,oneOf
2793,2509,oneOf
2794,2510,oneOf
2795,2419,oneOf
2796,2511,oneOf
2797,2485,oneOf
2798,2499,oneOf
2799,2502,oneOf
2800,2487,oneOf
2801,2486,oneOf
2802,2511,oneOf
2803,2475,oneOf
2804,2475,oneOf
2805,2512,oneOf
2806,2500,oneOf
2807,2416,oneOf
2808,2475,oneOf
2809,2486,oneOf
2810,2487,oneOf
2811,2413,oneOf
2812,2486,oneOf
2813,2513,oneOf
2814,2498,oneOf
2815,2475,oneOf
2816,2514,oneOf
2817,2503,oneOf
2818,2515,oneOf
2819,2516,oneOf
2820,2485,oneOf
2821,2411,oneOf
2822,2486,oneOf
2823,2517,oneOf
2824,2518,oneOf
2825,2419,oneOf
2826,2422,oneOf
2827,2505,oneOf
2828,2519,oneOf
2829,2500,oneOf
2830,2520,oneOf
2831,2478,oneOf
2832,2416,oneOf
2833,2407,oneOf
2834,2485,oneOf
2835,2415,oneOf
2836,2479,oneOf
2837,2474,oneOf
2838,2479,oneOf
2839,2414,oneOf
2840,2414,oneOf
2841,2521,oneOf
2842,2522,oneOf
2843,2523,oneOf
2844,2483,oneOf
2845,2524,oneOf
2846,2505,oneOf
2847,2416,oneOf
2848,2486,oneOf
2849,2504,oneOf
2850,2508,oneOf
2851,2473,oneOf
2852,2421,oneOf
2853,2502,oneOf
2854,2525,oneOf
2855,2526,oneOf
2856,2487,oneOf
2857,2473,oneOf
2858,2527,oneOf
2859,2485,oneOf
2860,2514,oneOf
2861,2421,oneOf
2862,2477,oneOf
2863,2409,oneOf
2864,2475,oneOf
2865,2514,oneOf
2866,2421,oneOf
2867,2411,oneOf
2868,2497,oneOf
2869,2475,oneOf
2870,2413,oneOf
2871,2423,oneOf
2872,2481,oneOf
2873,2477,oneOf
2874,2415,oneOf
2875,2528,oneOf
2876,2517,oneOf
2877,2414,oneOf
2878,2501,oneOf
2879,2489,oneOf
2880,2529,oneOf
2881,2517,oneOf
2882,2530,oneOf
2883,2414,oneOf
2884,2531,oneOf
2885,2407,oneOf
2886,2409,oneOf
2887,2532,oneOf
2888,2517,oneOf
2889,2502,oneOf
2890,2419,oneOf
2891,2518,oneOf
2892,2415,oneOf
2893,2473,oneOf
2894,2504,oneOf
2895,2413,oneOf
2896,2533,oneOf
2897,2497,oneOf
2898,2526,oneOf
2899,2477,oneOf
2900,2534,oneOf
2901,2477,oneOf
2902,2535,oneOf
2903,2409,oneOf
2904,2414,oneOf
2905,2411,oneOf
2906,2418,oneOf
2907,2493,oneOf
2908,2522,oneOf
2909,2522,oneOf
2910,2517,oneOf
2911,2536,oneOf
2912,2414,oneOf
2913,2414,oneOf
